ID_Enseignant,Nom_Enseignant,Type_Etablissement,Matieres,Niveaux_Autorises,Heures_Max_Par_Semaine,Heures_Max_Consecutives,Creneaux_Indisponibles,Indice_Flexibilite
T0070,Prof_70,Universite,['DROIT_CIVIL'],"['Licence_2', 'Cycle_Ingenieur']",10,4,[],0.6
T0071,Prof_71,Centre_Soutien,['ANGLAIS'],"['Tronc_Commun', 'Prepa']",16,3,[],0.9
T0072,Prof_72,Universite,"['RESEAUX', 'ECONOMIE']",['Licence_1'],10,4,[],0.6
T0073,Prof_73,Centre_Soutien,"['CHIMIE', 'SVT']","['Tronc_Commun', 'Prepa']",12,3,[],0.9
T0074,Prof_74,Centre_Soutien,['SVT'],"['College', 'Tronc_Commun']",12,3,['Lundi_08:00-10:00'],0.9
T0075,Prof_75,Ecole_Standard,['MATH'],['College'],24,4,['Lundi_08:00-10:00'],0.2
T0076,Prof_76,Ecole_Standard,['PHILOSOPHIE'],['Baccalaureat'],22,4,[],0.2
T0077,Prof_77,Universite,['BASE_DE_DONNEES'],['Licence_1'],10,4,[],0.6
T0078,Prof_78,Centre_Soutien,"['MATH', 'CHIMIE']","['Prepa', 'Baccalaureat']",8,3,['Vendredi_15:00-18:00'],0.9
T0079,Prof_79,Universite,['ANALYSE'],['Master_1'],18,4,[],0.6
T0080,Prof_80,Centre_Soutien,"['ANGLAIS', 'CHIMIE']",['Prepa'],8,3,[],0.9
T0081,Prof_81,Centre_Soutien,['ANGLAIS'],"['Tronc_Commun', 'Prepa']",16,3,['Samedi_09:00-12:00'],0.9
T0082,Prof_82,Universite,['BIOLOGIE'],"['Master_1', 'Licence_2']",10,4,[],0.6
T0083,Prof_83,Centre_Soutien,['PHYSIQUE'],"['Prepa', 'Tronc_Commun']",8,3,['Samedi_09:00-12:00'],0.9
T0084,Prof_84,Centre_Soutien,['CHIMIE'],"['Baccalaureat', 'Prepa']",12,3,[],0.9
T0085,Prof_85,Universite,"['DROIT_CIVIL', 'ALGEBRE']",['Cycle_Ingenieur'],10,4,[],0.6
T0086,Prof_86,Universite,['BIOLOGIE'],"['Licence_1', 'Cycle_Ingenieur']",18,4,['Mercredi_14:00-16:00'],0.6
T0087,Prof_87,Ecole_Standard,['ANGLAIS'],"['Baccalaureat', 'Tronc_Commun']",24,4,[],0.2
T0088,Prof_88,Universite,['BIOLOGIE'],"['Master_1', 'Licence_2']",14,4,['Vendredi_15:00-18:00'],0.6
T0089,Prof_89,Ecole_Standard,['CHIMIE'],['College'],22,4,[],0.2
T0090,Prof_90,Universite,['ECONOMIE'],['Licence_2'],10,4,['Samedi_09:00-12:00'],0.6
T0091,Prof_91,Centre_Soutien,"['FRANCAIS', 'PHYSIQUE']","['College', 'Prepa']",16,3,[],0.9
T0092,Prof_92,Ecole_Standard,['PHILOSOPHIE'],['College'],22,4,[],0.2
T0093,Prof_93,Centre_Soutien,['PHYSIQUE'],['Baccalaureat'],12,3,[],0.9
T0094,Prof_94,Ecole_Standard,['SVT'],"['College', 'Baccalaureat']",20,4,['Samedi_09:00-12:00'],0.2
T0095,Prof_95,Ecole_Standard,"['SVT', 'ARABE']","['Tronc_Commun', 'Baccalaureat']",22,4,['Mercredi_14:00-16:00'],0.2
T0096,Prof_96,Universite,['ANALYSE'],['Licence_2'],10,4,['Lundi_08:00-10:00'],0.6
T0097,Prof_97,Ecole_Standard,"['PHYSIQUE', 'CHIMIE']",['Tronc_Commun'],24,4,[],0.2
T0098,Prof_98,Centre_Soutien,['PHYSIQUE'],"['Baccalaureat', 'Prepa']",8,3,[],0.9
T0099,Prof_99,Universite,['ECONOMIE'],['Cycle_Ingenieur'],18,4,['Vendredi_15:00-18:00'],0.6
T0100,Prof_100,Ecole_Standard,['CHIMIE'],['College'],24,4,['Samedi_09:00-12:00'],0.2
T0101,Prof_101,Universite,['ECONOMIE'],"['Licence_1', 'Licence_2']",18,4,[],0.6
T0102,Prof_102,Centre_Soutien,['FRANCAIS'],"['Prepa', 'College']",12,3,[],0.9
T0103,Prof_103,Universite,['ECONOMIE'],['Licence_1'],18,4,['Lundi_08:00-10:00'],0.6
T0104,Prof_104,Centre_Soutien,['PHYSIQUE'],"['Prepa', 'Tronc_Commun']",16,3,['Mercredi_14:00-16:00'],0.9
T0105,Prof_105,Centre_Soutien,['SVT'],"['Prepa', 'Tronc_Commun']",8,3,[],0.9
T0106,Prof_106,Ecole_Standard,['PHILOSOPHIE'],"['Baccalaureat', 'Tronc_Commun']",24,4,[],0.2
T0107,Prof_107,Ecole_Standard,['ANGLAIS'],"['Tronc_Commun', 'College']",22,4,[],0.2
T0108,Prof_108,Universite,['ALGEBRE'],"['Cycle_Ingenieur', 'Licence_1']",18,4,['Samedi_09:00-12:00'],0.6
T0109,Prof_109,Centre_Soutien,['MATH'],['Baccalaureat'],12,3,[],0.9
T0110,Prof_110,Centre_Soutien,['SVT'],['College'],16,3,[],0.9
T0111,Prof_111,Ecole_Standard,['FRANCAIS'],['Baccalaureat'],20,4,[],0.2
T0112,Prof_112,Ecole_Standard,['PHYSIQUE'],['Tronc_Commun'],22,4,[],0.2
T0113,Prof_113,Universite,['RESEAUX'],"['Cycle_Ingenieur', 'Licence_1']",10,4,[],0.6
T0114,Prof_114,Centre_Soutien,"['FRANCAIS', 'ANGLAIS']",['College'],12,3,['Mercredi_14:00-16:00'],0.9
T0115,Prof_115,Universite,['ALGEBRE'],"['Master_1', 'Cycle_Ingenieur']",18,4,[],0.6
T0116,Prof_116,Centre_Soutien,['SVT'],"['Baccalaureat', 'Tronc_Commun']",16,3,[],0.9
T0117,Prof_117,Centre_Soutien,['CHIMIE'],['Tronc_Commun'],8,3,[],0.9
T0118,Prof_118,Centre_Soutien,"['ANGLAIS', 'SVT']","['Prepa', 'Baccalaureat']",16,3,[],0.9
T0119,Prof_119,Ecole_Standard,['MATH'],['Baccalaureat'],22,4,[],0.2
T0120,Prof_120,Ecole_Standard,['PHILOSOPHIE'],['Baccalaureat'],20,4,[],0.2
T0121,Prof_121,Universite,"['MECANIQUE_QUANTIQUE', 'ALGEBRE']","['Master_1', 'Licence_2']",14,4,[],0.6
T0122,Prof_122,Universite,"['BASE_DE_DONNEES', 'RESEAUX']","['Master_1', 'Cycle_Ingenieur']",14,4,[],0.6
T0123,Prof_123,Universite,"['ANALYSE', 'BIOLOGIE']","['Licence_2', 'Master_1']",18,4,['Lundi_08:00-10:00'],0.6
T0124,Prof_124,Universite,['BIOLOGIE'],['Master_1'],10,4,[],0.6
T0125,Prof_125,Centre_Soutien,['CHIMIE'],"['Baccalaureat', 'Tronc_Commun']",16,3,['Mercredi_14:00-16:00'],0.9
T0126,Prof_126,Universite,['MECANIQUE_QUANTIQUE'],['Licence_1'],14,4,[],0.6
T0127,Prof_127,Universite,['BIOLOGIE'],['Licence_2'],14,4,[],0.6
T0128,Prof_128,Centre_Soutien,['MATH'],"['Baccalaureat', 'Prepa']",8,3,[],0.9
T0129,Prof_129,Centre_Soutien,['FRANCAIS'],"['Prepa', 'Baccalaureat']",8,3,['Samedi_09:00-12:00'],0.9
T0130,Prof_130,Centre_Soutien,['MATH'],['Prepa'],16,3,[],0.9
T0131,Prof_131,Centre_Soutien,['CHIMIE'],['Prepa'],16,3,['Lundi_08:00-10:00'],0.9
T0132,Prof_132,Universite,['ECONOMIE'],['Master_1'],18,4,['Vendredi_15:00-18:00'],0.6
T0133,Prof_133,Centre_Soutien,['ANGLAIS'],['College'],16,3,[],0.9
T0134,Prof_134,Ecole_Standard,['PHILOSOPHIE'],['Baccalaureat'],20,4,[],0.2
T0135,Prof_135,Ecole_Standard,['ANGLAIS'],"['College', 'Baccalaureat']",24,4,['Samedi_09:00-12:00'],0.2
T0136,Prof_136,Universite,['MECANIQUE_QUANTIQUE'],"['Cycle_Ingenieur', 'Licence_2']",14,4,[],0.6
T0137,Prof_137,Ecole_Standard,['PHYSIQUE'],['College'],24,4,[],0.2
T0138,Prof_138,Universite,['BASE_DE_DONNEES'],['Cycle_Ingenieur'],14,4,['Lundi_08:00-10:00'],0.6
T0139,Prof_139,Centre_Soutien,['ANGLAIS'],"['Prepa', 'Baccalaureat']",8,3,[],0.9
T0140,Prof_140,Universite,['ALGEBRE'],"['Licence_2', 'Master_1']",18,4,['Mercredi_14:00-16:00'],0.6
T0141,Prof_141,Centre_Soutien,['MATH'],['College'],12,3,[],0.9
T0142,Prof_142,Centre_Soutien,"['PHYSIQUE', 'FRANCAIS']",['Prepa'],16,3,[],0.9
T0143,Prof_143,Universite,['RESEAUX'],['Cycle_Ingenieur'],14,4,[],0.6
T0144,Prof_144,Universite,['ECONOMIE'],['Master_1'],10,4,['Mercredi_14:00-16:00'],0.6
T0145,Prof_145,Centre_Soutien,"['ANGLAIS', 'CHIMIE']","['College', 'Tronc_Commun']",12,3,['Lundi_08:00-10:00'],0.9
T0146,Prof_146,Ecole_Standard,['MATH'],['Tronc_Commun'],24,4,['Vendredi_15:00-18:00'],0.2
T0147,Prof_147,Ecole_Standard,"['INFORMATIQUE', 'ARABE']",['College'],20,4,[],0.2
T0148,Prof_148,Universite,"['MECANIQUE_QUANTIQUE', 'ANALYSE']","['Licence_2', 'Licence_1']",10,4,[],0.6
T0149,Prof_149,Ecole_Standard,"['ARABE', 'ANGLAIS']",['College'],24,4,['Vendredi_15:00-18:00'],0.2
T0150,Prof_150,Centre_Soutien,['ANGLAIS'],['Prepa'],12,3,[],0.9
T0151,Prof_151,Universite,['BIOLOGIE'],['Licence_1'],18,4,[],0.6
T0152,Prof_152,Universite,['ALGEBRE'],['Cycle_Ingenieur'],14,4,[],0.6
T0153,Prof_153,Universite,"['BIOLOGIE', 'ALGEBRE']",['Master_1'],10,4,[],0.6
T0154,Prof_154,Ecole_Standard,['INFORMATIQUE'],"['Tronc_Commun', 'Baccalaureat']",24,4,[],0.2
T0155,Prof_155,Centre_Soutien,"['ANGLAIS', 'MATH']",['Prepa'],8,3,[],0.9
T0156,Prof_156,Centre_Soutien,['SVT'],"['Prepa', 'Baccalaureat']",12,3,['Mercredi_14:00-16:00'],0.9
T0157,Prof_157,Universite,['MECANIQUE_QUANTIQUE'],"['Licence_1', 'Cycle_Ingenieur']",10,4,[],0.6
T0158,Prof_158,Centre_Soutien,"['ANGLAIS', 'CHIMIE']",['College'],16,3,[],0.9
T0159,Prof_159,Universite,['ANALYSE'],"['Master_1', 'Cycle_Ingenieur']",14,4,[],0.6
T0160,Prof_160,Universite,"['ECONOMIE', 'BIOLOGIE']","['Master_1', 'Licence_1']",10,4,[],0.6
T0161,Prof_161,Ecole_Standard,['ARABE'],['Tronc_Commun'],22,4,[],0.2
T0162,Prof_162,Ecole_Standard,['ARABE'],"['Baccalaureat', 'College']",24,4,[],0.2
T0163,Prof_163,Universite,['MECANIQUE_QUANTIQUE'],"['Master_1', 'Licence_2']",10,4,[],0.6
T0164,Prof_164,Ecole_Standard,['SVT'],['College'],20,4,[],0.2
T0165,Prof_165,Ecole_Standard,['ARABE'],"['Tronc_Commun', 'Baccalaureat']",22,4,[],0.2
T0166,Prof_166,Centre_Soutien,['FRANCAIS'],['College'],16,3,['Lundi_08:00-10:00'],0.9
T0167,Prof_167,Ecole_Standard,['SVT'],"['Baccalaureat', 'Tronc_Commun']",20,4,[],0.2
T0168,Prof_168,Universite,"['RESEAUX', 'ALGEBRE']","['Cycle_Ingenieur', 'Master_1']",10,4,[],0.6
T0169,Prof_169,Ecole_Standard,['MATH'],['College'],20,4,[],0.2
T0170,Prof_170,Ecole_Standard,['FRANCAIS'],"['College', 'Baccalaureat']",22,4,[],0.2
T0171,Prof_171,Ecole_Standard,"['INFORMATIQUE', 'ARABE']","['College', 'Tronc_Commun']",20,4,[],0.2
T0172,Prof_172,Centre_Soutien,"['MATH', 'CHIMIE']","['Prepa', 'Baccalaureat']",12,3,[],0.9
T0173,Prof_173,Ecole_Standard,['ANGLAIS'],['Baccalaureat'],24,4,[],0.2
T0174,Prof_174,Centre_Soutien,"['MATH', 'PHYSIQUE']","['Prepa', 'Baccalaureat']",16,3,['Samedi_09:00-12:00'],0.9
T0175,Prof_175,Centre_Soutien,['PHYSIQUE'],['College'],8,3,[],0.9
T0176,Prof_176,Centre_Soutien,['ANGLAIS'],['Tronc_Commun'],8,3,['Samedi_09:00-12:00'],0.9
T0177,Prof_177,Ecole_Standard,['PHYSIQUE'],['Baccalaureat'],24,4,[],0.2
T0178,Prof_178,Universite,['BASE_DE_DONNEES'],"['Licence_2', 'Cycle_Ingenieur']",18,4,['Mercredi_14:00-16:00'],0.6
T0179,Prof_179,Centre_Soutien,['FRANCAIS'],['Baccalaureat'],12,3,[],0.9
T0180,Prof_180,Centre_Soutien,['MATH'],"['Baccalaureat', 'College']",8,3,[],0.9
T0181,Prof_181,Universite,['RESEAUX'],"['Licence_1', 'Licence_2']",18,4,[],0.6
T0182,Prof_182,Universite,"['BIOLOGIE', 'ECONOMIE']",['Licence_1'],14,4,[],0.6
T0183,Prof_183,Universite,"['MECANIQUE_QUANTIQUE', 'ALGEBRE']",['Cycle_Ingenieur'],18,4,[],0.6
T0184,Prof_184,Universite,['BASE_DE_DONNEES'],"['Master_1', 'Licence_2']",14,4,[],0.6
T0185,Prof_185,Universite,['BASE_DE_DONNEES'],['Master_1'],14,4,['Mercredi_14:00-16:00'],0.6
T0186,Prof_186,Centre_Soutien,['ANGLAIS'],['Baccalaureat'],12,3,['Vendredi_15:00-18:00'],0.9
T0187,Prof_187,Centre_Soutien,['ANGLAIS'],"['Tronc_Commun', 'Baccalaureat']",8,3,[],0.9
T0188,Prof_188,Centre_Soutien,['ANGLAIS'],"['Tronc_Commun', 'Baccalaureat']",16,3,[],0.9
T0189,Prof_189,Universite,['ANALYSE'],"['Master_1', 'Licence_1']",10,4,[],0.6
T0190,Prof_190,Ecole_Standard,['PHILOSOPHIE'],['College'],20,4,[],0.2
T0191,Prof_191,Ecole_Standard,['PHYSIQUE'],['Baccalaureat'],24,4,[],0.2
T0192,Prof_192,Ecole_Standard,['CHIMIE'],['College'],24,4,[],0.2
T0193,Prof_193,Ecole_Standard,['MATH'],"['Tronc_Commun', 'College']",24,4,[],0.2
T0194,Prof_194,Centre_Soutien,['SVT'],['Tronc_Commun'],12,3,[],0.9
T0195,Prof_195,Ecole_Standard,['PHILOSOPHIE'],"['Tronc_Commun', 'Baccalaureat']",22,4,[],0.2
T0196,Prof_196,Ecole_Standard,['CHIMIE'],"['College', 'Tronc_Commun']",24,4,[],0.2
T0197,Prof_197,Ecole_Standard,['INFORMATIQUE'],['Tronc_Commun'],22,4,['Vendredi_15:00-18:00'],0.2
T0198,Prof_198,Centre_Soutien,['PHYSIQUE'],"['College', 'Prepa']",12,3,[],0.9
T0199,Prof_199,Ecole_Standard,['SVT'],"['College', 'Tronc_Commun']",22,4,[],0.2
T0200,Prof_200,Ecole_Standard,"['PHYSIQUE', 'ANGLAIS']",['College'],24,4,['Mercredi_14:00-16:00'],0.2
